bangumi_id,year,title,old_type,new_type,bangumi_platform,has_tv_relation,classification_reason,bangumi_tags,vote_count,score_visible
112951,1975,大魔神对盖塔机器人,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,59,yes
112063,1975,安徒生童话 人鱼公主,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,13,no
112914,1975,这就是UFO啊！飞翔的圆盘,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,21,no
114512,1975,大魔神对盖塔机器人G 空中大冲击,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,47,yes
329163,1975,UFO机器人古连泰沙 就算我牺牲了生命,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,9,no
431547,1976,力桥,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,2,no
432859,1976,来自樱花的爱,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,3,no
600447,1976,美女与野兽,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,短片 / 恋爱 / 奇幻 / 子供向 / 日常 / 小说改,1,no
692056,1976,股票的作用,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版,0,no
431543,1976,那是谁？,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,2,no
112964,1976,UFO机器人古连泰沙对大魔神,movie,movie,3,no,同时含剧场版与原创标签，并有电影证据或无 TV 系列关系，归入动画电影,剧场版,44,yes
83545,1976,长靴猫环游世界八十天,theatrical,theatrical,3,yes,同时含剧场版与电影标签，且与 TV 系列存在关联，归入剧场版,剧场版 / 冒险,18,no
114460,1976,古连泰沙 盖塔机器人G 大魔神 决战！大海兽,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,51,yes
311634,1976,小卡姆的冒险,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,0,no
329161,1976,UFO机器人古连泰沙 赤色夕阳下对决,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,11,no
599747,1977,,other,other,3,no,番组计划平台或用户标签标注为 OVA，按统一规则归入其他,短片 / 剧场版 / 恋爱 / 子供向 / 日常,1,no
431514,1977,咖啡休息时间,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,3,no
598076,1977,火灾与小马,movie,movie,3,no,同时含剧场版与原创标签，并有电影证据或无 TV 系列关系，归入动画电影,剧场版 / 原创 / 子供向,1,no
431548,1977,飞向彩虹,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,3,no
159702,1977,世界名作童话 野天鹅,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,8,no
112488,1977,草原之子腾格里,other,other,3,no,番组计划平台或用户标签标注为 OVA，按统一规则归入其他,剧场版 / 原创 / 冒险,14,no
127774,1977,惑星机器人丹加德A对昆虫机器人军团,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,10,no
74535,1977,宇宙战舰大和号 剧场版,other,other,3,yes,标题或番组计划普通标签标记为总集篇，按统一规则归入其他,剧场版,63,yes
473327,1977,野蔷薇,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版 / 小说改,1,no
115885,1977,再见小象,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,5,no
554519,1977,新巨人之星 剧场版,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,0,no
600449,1978,冰雪女王 学研版,theatrical,theatrical,3,yes,与既有 TV 动画处于同一强关联作品链，归入剧场版,剧场版 / 恋爱 / 奇幻 / 子供向 / 小说改,1,no
431551,1978,,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,2,no
265344,1978,,other,other,3,yes,标题或番组计划普通标签标记为总集篇，按统一规则归入其他,剧场版,4,no
99110,1978,七灵的铃,movie,movie,3,no,同时含剧场版与电影标签但无 TV 系列关系，归入动画电影,剧场版,19,no
189650,1978,世界名作童话 拇指姑娘,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,5,no
127775,1978,惑星机器人丹加德A 宇宙大海战,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,11,no
265346,1978,聪明的一休之刁蛮公主,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,10,no
137431,1978,原爆,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,12,no
80846,1978,科学小飞侠 剧场版,other,other,3,no,标题或番组计划普通标签标记为总集篇，按统一规则归入其他,剧场版,17,no
265345,1978,,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,4,no
127778,1978,宇宙海盗哈洛克 阿尔卡迪亚号之谜,theatrical,theatrical,3,yes,同时含剧场版与电影标签，且与 TV 系列存在关联，归入剧场版,剧场版,17,no
74533,1978,再见宇宙战舰大和号 爱的战士们,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,74,yes
45054,1978,鲁邦三世 鲁邦VS克隆人,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版 / 漫画改,248,yes
588509,1979,跑吧！美乐斯 学研版,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,短片 / 剧场版 / 小说改,1,no
431553,1979,鬼隐山的荞麦花,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,1,no
430491,1979,,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,1,no
