review_status,year,wikipedia_title_zh,wikipedia_title_ja,wikipedia_release_date,wikipedia_url,candidate_1_id,candidate_1_title_cn,candidate_1_title,candidate_1_score,candidate_2_id,candidate_2_title,candidate_2_score,candidate_3_id,candidate_3_title,candidate_3_score,manual_decision,manual_bangumi_id,manual_note,best_japanese_candidate_id,best_japanese_candidate_title,japanese_similarity,core_title_similarity,release_month_day_same,uniqueness_margin,automatic_review_note
likely_translation,2024,偶像大师 闪耀色彩 第2季第1章,アイドルマスター シャイニーカラーズ 2nd season 第1章,7月5日,https://zh.wikipedia.org/wiki/%E5%81%B6%E5%83%8F%E5%A4%A7%E5%B8%AB_%E9%96%83%E8%80%80%E8%89%B2%E5%BD%A9,448496,偶像大师 闪耀色彩 第3章,アイドルマスター シャイニーカラーズ 第3章,0.8,531640,アイドルマスター ミリオンライブ! 第3幕先行上映アンコールMV「Rat A Tat!!!」,0.3385,443758,Transformers One,0.2727,,,,531640,アイドルマスター ミリオンライブ！ 第3幕先行上映アンコールMV「Rat A Tat!!!」,0.3385,0.3385,no,0.0657,未达到保守的自动确认阈值
likely_translation,2024,偶像大师 闪耀色彩 第2季第2章,アイドルマスター シャイニーカラーズ 2nd season 第2章,8月23日,https://zh.wikipedia.org/wiki/%E5%81%B6%E5%83%8F%E5%A4%A7%E5%B8%AB_%E9%96%83%E8%80%80%E8%89%B2%E5%BD%A9,448496,偶像大师 闪耀色彩 第3章,アイドルマスター シャイニーカラーズ 第3章,0.8,531640,アイドルマスター ミリオンライブ! 第3幕先行上映アンコールMV「Rat A Tat!!!」,0.3385,443758,Transformers One,0.2727,,,,531640,アイドルマスター ミリオンライブ！ 第3幕先行上映アンコールMV「Rat A Tat!!!」,0.3385,0.3385,no,0.0657,未达到保守的自动确认阈值
likely_translation,2024,偶像大师 闪耀色彩 第2季第3章,アイドルマスター シャイニーカラーズ 2nd season 第3章,9月20日,https://zh.wikipedia.org/wiki/%E5%81%B6%E5%83%8F%E5%A4%A7%E5%B8%AB_%E9%96%83%E8%80%80%E8%89%B2%E5%BD%A9,448496,偶像大师 闪耀色彩 第3章,アイドルマスター シャイニーカラーズ 第3章,0.88,531640,アイドルマスター ミリオンライブ! 第3幕先行上映アンコールMV「Rat A Tat!!!」,0.3385,443758,Transformers One,0.2727,,,,531640,アイドルマスター ミリオンライブ！ 第3幕先行上映アンコールMV「Rat A Tat!!!」,0.3385,0.3385,no,0.0407,未达到保守的自动确认阈值
likely_translation,2025,剧场版 烧窑的话也要马克杯-动画总集篇-欢迎回来,劇場版「やくならマグカップも」-アニメ総集編-お帰りなさい,3月22日,https://zh.wikipedia.org/wiki/%E7%87%92%E7%AA%AF%E7%9A%84%E8%A9%B1%E4%B9%9F%E8%A6%81%E9%A6%AC%E5%85%8B%E6%9D%AF,620064,如果烧陶的话也做个马克杯吧 二番窑 剧场总集篇,やくならマグカップも 二番窯-アニメ総集編-,0.7273,496945,やくならマグカップも 劇場版,0.5263,512793,劇場版総集編 ガールズバンドクライ なぁ、未来。,0.3784,,,,620064,やくならマグカップも 二番窯－アニメ総集編－,0.7273,0.7805,no,0.1555,未达到保守的自动确认阈值
wikipedia_only,2025,剧场版总集篇 咒术回战 怀玉・玉折,劇場版総集編 呪術廻戦 懐玉・玉折,5月30日,https://zh.wikipedia.org/wiki/%E5%92%92%E8%A1%93%E8%BF%B4%E6%88%B0_(%E5%8B%95%E7%95%AB),509599,咒术回战 怀玉·玉折 总集篇,呪術廻戦 懐玉・玉折 総集編,0.64,512793,劇場版総集編 ガールズバンドクライ なぁ、未来。,0.4,512792,劇場版総集編 ガールズバンドクライ 青春狂走曲,0.375,,,,509599,呪術廻戦 懐玉・玉折 総集編,0.64,0.7273,yes,0.3993,未达到保守的自动确认阈值
wikipedia_only,2025,BULLET/BULLET 弹丸疾走篇,BULLET/BULLET 弾丸疾走編,7月25日,https://zh.wikipedia.org/w/index.php?title=BULLET/BULLET&action=edit&redlink=1,561258,,Allah n'est pas obligé,0.3429,656261,Samuel - L'intégrale de la série,0.2857,621662,Dieu est timide,0.2667,,,,561258,Allah n'est pas obligé,0.3429,0.3429,no,0.0571,未达到保守的自动确认阈值
wikipedia_only,2025,BULLET/BULLET 弹丸决战篇,BULLET/BULLET 弾丸決戦編,8月15日,https://zh.wikipedia.org/w/index.php?title=BULLET/BULLET&action=edit&redlink=1,561258,,Allah n'est pas obligé,0.3429,656261,Samuel - L'intégrale de la série,0.2857,621662,Dieu est timide,0.2667,,,,561258,Allah n'est pas obligé,0.3429,0.3429,no,0.0571,未达到保守的自动确认阈值
likely_translation,2025,剧场先行版‘黄金神威’札幌啤酒工厂篇【前篇】,劇場先行版『ゴールデンカムイ』札幌ビール工場編【前編】,10月10日,https://zh.wikipedia.org/wiki/%E9%BB%83%E9%87%91%E7%A5%9E%E5%A8%81,610350,黄金神威 札幌啤酒工厂篇 前篇,ゴールデンカムイ 札幌ビール工場編 前編,0.878,610359,ゴールデンカムイ 札幌ビール工場編 後編,0.8293,564244,ゴールデンカムイ 稲妻強盗と蝮のお銀編&シマエナガ編,0.4255,,,,564244,ゴールデンカムイ 稲妻強盗と蝮のお銀編＆シマエナガ編,0.4255,0.4255,no,0.4255,未达到保守的自动确认阈值
likely_translation,2025,剧场先行版‘黄金神威’札幌啤酒工厂篇【后篇】,劇場先行版『ゴールデンカムイ』札幌ビール工場編【後編】,10月31日,https://zh.wikipedia.org/wiki/%E9%BB%83%E9%87%91%E7%A5%9E%E5%A8%81,610359,黄金神威 札幌啤酒工厂篇 后篇,ゴールデンカムイ 札幌ビール工場編 後編,0.878,610350,ゴールデンカムイ 札幌ビール工場編 前編,0.8293,564244,ゴールデンカムイ 稲妻強盗と蝮のお銀編&シマエナガ編,0.4255,,,,564244,ゴールデンカムイ 稲妻強盗と蝮のお銀編＆シマエナガ編,0.4255,0.4255,no,0.4255,未达到保守的自动确认阈值
wikipedia_only,2025,我们不可能成为恋人!绝对不行。(※似乎可行?)~Next Shine~,わたしが恋人になれるわけないじゃん、ムリムリ!(※ムリじゃなかった!?)~ネクストシャイン!~,11月21日,https://zh.wikipedia.org/wiki/%E6%88%91%E5%80%91%E4%B8%8D%E5%8F%AF%E8%83%BD%E6%88%90%E7%82%BA%E6%88%80%E4%BA%BA%EF%BC%81%E7%B5%95%E5%B0%8D%E4%B8%8D%E8%A1%8C%E3%80%82%EF%BC%88%E2%80%BB%E4%BC%BC%E4%B9%8E%E5%8F%AF%E8%A1%8C%EF%BC%9F%EF%BC%89,562015,,Endless Cookie,0.2564,561258,Allah n'est pas obligé,0.2273,538402,Lesbian Space Princess,0.2174,,,,562015,,0.0,0.0,no,0.0,未达到保守的自动确认阈值
