year,bangumi_id,title,type,bangumi_platform,theatrical_status,theatrical_release_dates,other_country_release_dates,home_video_release_dates,runtime,runtime_minutes,classification_reason,metadata_needs_review
1992,193548,,ova,OVA,not_listed,,,1992年7月1日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,75192,圣饥魔II 人道协会 人类之爱溢满社会,ova,OVA,not_listed,,,1992年7月1日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,79988,极道水浒传,ova,OVA,not_listed,,,1992年7月1日,50分钟,50,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1992,188872,新 同居时代 HAWAIIAN BREEZE,ova,OVA,not_listed,,,1992年7月3日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,220056,象列车来了,movie,Movie,confirmed,1992年7月4日,,,80分,80,番组计划平台为 Movie，标题未标为剧场版,no
1992,579323,动画落语馆,ova,OVA,not_listed,,,1992年7月5日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,317748,,movie,Movie,confirmed,1992-07-11,,,39min,39,番组计划平台为 Movie，标题未标为剧场版,no
1992,431619,千本松原 与河流生活的少年们,movie,Movie,confirmed,1992年7月11日,,,90分,90,番组计划平台为 Movie，标题未标为剧场版,no
1992,442956,铁拳之道,movie,Movie,confirmed,1992年7月11日,,,30分,30,番组计划平台为 Movie，标题未标为剧场版,no
1992,45392,龙珠Z 极限之战！！三大超级赛亚人,movie,Movie,confirmed,1992年7月11日,,,,,番组计划平台为 Movie，标题未标为剧场版,yes
1992,41867,亚尔斯兰战记II,movie,Movie,confirmed,1992年7月18日,,,60分,60,番组计划平台为 Movie，标题未标为剧场版,no
1992,307,红猪,movie,Movie,confirmed,1992年7月18日,,,93分钟,93,番组计划平台为 Movie，标题未标为剧场版,no
1992,79176,跑吧！美乐斯,movie,Movie,confirmed,1992年7月18日,,,106min,106,番组计划平台为 Movie，标题未标为剧场版,no
1992,6256,风之大陆,movie,Movie,confirmed,1992年7月18日,,,54分钟,54,番组计划平台为 Movie，标题未标为剧场版,no
1992,41879,魔法阵都市 剧场版2,theatrical,Movie,confirmed,1992年7月18日,,,60分,60,番组计划平台为 Movie，标题明确含剧场版/映画标记,no
1992,315431,,ova,OVA,not_listed,,,1992-07-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,117811,三色猫福尔摩斯之幽灵城主,ova,OVA,not_listed,,,1992年7月21日,45分,45,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1992,112148,丽佳娃娃的星期天,ova,OVA,not_listed,,,1992年7月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,508584,凯蒂猫 马戏团来了,ova,OVA,not_listed,,,1992年7月21日,30分钟,30,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1992,315430,大本钟停止之日的凯蒂猫,ova,OVA,not_listed,,,1992-07-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
